ID,country,subregion,region,date_of_first_stamp,date_of_first_historical_stamp,topic,theme,url,scott_catalogue_number,stanley_gibbons_catalogue_number,image_source,image_name,image_permalink
97,Kosovo,Southern Europe,Europe,2008,2008,Centenary of Alphabet,Culture,https://www.stampworld.com/stamps/Kosovo/Postage-stamps/g0116//,111,-,https://i.ebayimg.com/images/g/Me4AAOSwCZRfGrz3/s-l1200.jpg,97-kosovo.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/97-kosovo.jpeg
98,Kuwait ,Western Asia,Asia,1923,1960,10th Anniversary of Shaikh's Accession,Leaders (Royalty),https://www.stampworld.com/stamps/Kuwait/Postage-stamps/g0143//,"153, 154",144145,https://i.ebayimg.com/images/g/vKcAAOSwlXlgaSA7/s-l500.jpg,98-kuwait.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/98-kuwait.jpeg
99,Kyrgyzstan,Central Asia,Asia,1992,1993,2nd Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Kyrgyzstan/Postage-stamps/g0018//,"13,14","18,19",https://i.ebayimg.com/images/g/oTgAAOSwKjZjlLf5/s-l1600.webp,99-kyrgyzstan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/99-kyrgyzstan.jpeg
100,Lao (PDR),Southeastern Asia,Asia,1951,1956,2500th Anniversary of birth of Buddha,Leaders (Religious),https://www.stampworld.com/stamps/Laos/Postage-stamps/g0049//,27-29,49-53,https://i.ebayimg.com/images/g/lQEAAOSwf7Bh~0gf/s-l1600.webp,100-laopdr.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/100-laopdr.jpeg
101,Latvia,Northern Europe,Europe,1918,1919,1st Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Latvia/Postage-stamps/g0020//,59-62,32-35,https://upload.wikimedia.org/wikipedia/commons/3/3a/Latvia_SC60_Laid_Paper.jpg,101-latvia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/101-latvia.jpeg
102,Lebanon ,Western Asia,Asia,1941,1942,1st Anniversary of Independence,Leaders (Political),https://www.stampworld.com/stamps/Lebanon/Postage-stamps/g0255//                                                        ,156-159,252-257,https://upload.wikimedia.org/wikipedia/commons/7/74/Stamp%2C_Emir_Bashir_Shehab_II.jpg,102-lebanon.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/102-lebanon.jpeg
103,Lesotho,Southern Africa,Africa,1966,1969,The 100th Anniversary of Founding of Maseru,Cities,https://www.stampworld.com/stamps/Lesotho/Postage-stamps/g0067//,67-70,167-170,https://i.ebayimg.com/images/g/S94AAOSwztVb8v~~/s-l500.jpg,103-lesotho.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/103-lesotho.jpeg
104,Liberia,Western Africa,Africa,1860,1923,The 100th Anniversary of the Landing of the First Settlers at Cape Mesurado,Discovery (Settlement),https://www.stampworld.com/stamps/Liberia/Postage-stamps/g0287//,209-213,466-470,https://i.ebayimg.com/images/g/WEAAAOSw3TldZG4a/s-l1600.webp,104-liberia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/104-liberia.jpeg
105,Libya,Northern Africa,Africa,1951,1956,The 100th Anniversary of the Death of Imam Essayed Mohamed Aly el Senussi,Faith ,https://www.stampworld.com/stamps/Libya/Postage-stamps/g0071//,169-172,225-228,https://i.ebayimg.com/images/g/UDIAAOSwF-1mzApr/s-l1600.webp,105-libya.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/105-libya.jpeg
106,Liechtenstein,Western Europe,Europe,1912,1939,Homage offered to Francis Joseph II in 1718,Leaders (Royalty),https://www.stampworld.com/stamps/Liechtenstein/Postage-stamps/g0184//,154-156,183-185,https://i.ebayimg.com/images/g/nW4AAOSwlhdmFaOx/s-l1600.webp,106-liechtenstein.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/106-liechtenstein.jpeg
107,Lithuania,Northern Europe,Europe,1918,1920,2nd Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Lithuania/Postage-stamps/g0061//,70-80,65-75,https://i.ebayimg.com/images/g/iecAAOSw1JFlPB-Y/s-l1600.webp,107-lithuania.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/107-lithuania.jpeg
108,Luxembourg,Western Europe,Europe,1852,1939,Centenary of Independence,Independence (History),https://www.stampworld.com/stamps/Luxembourg/Postage-stamps/g0322//,206-215,378-387,https://i.ebayimg.com/images/g/3C0AAeSw5A9ptvzq/s-l1600.webp,108-luxembourg.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/108-luxembourg.jpeg
109,Madagascar,Eastern Africa,Africa,1960,1962,1962 The 2nd Anniversary of Inclusion to the United Nations,UN Admission,https://www.stampworld.com/stamps/Madagascar/Postage-stamps/g0524//,326-327,37-38,https://i.ebayimg.com/images/g/~zwAAeSwC~dofV3B/s-l1600.webp,109-madagascar.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/109-madagascar.jpeg
110,Malawi,Eastern Africa,Africa,1964,1965,The 50th Anniversary of 1915 Rising,Uprising,https://www.stampworld.com/stamps/Malawi/Postage-stamps/g0029//,29-32,238-241,https://i.ebayimg.com/images/g/2RsAAOSwGcBmI-Ni/s-l1600.webp,110-malawi.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/110-malawi.jpeg
111,Malaysia,Southeastern Asia,Asia,1963,1966,The 150th Anniversary of Penang Free School,Culture (Education),https://www.stampworld.com/stamps/Malaysia/Postage-stamps/g0034//,35-36,35-36,https://i.ebayimg.com/images/g/i58AAOSwFE1gUG7B/s-l1600.webp,111-malaysia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/111-malaysia.jpeg
112,Maldives ,Southern Asia,Asia,1906,1961,55th Anniversary of the First Maldivian Stamp,Philately,https://www.stampworld.com/stamps/Maldives/Postage-stamps/g0077//,77-86,78-87,https://i.ebayimg.com/images/g/XHMAAOSwXfFhkRnG/s-l1600.webp,112-maldives.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/112-maldives.jpeg
113,Mali ,Western Africa,Africa,1959,1959,"300th Anniversary of Founding of St. Louis, Senegal",Cities,https://www.stampworld.com/stamps/Mali/Postage-stamps/g0002//,C1,2,https://i.ebayimg.com/images/g/YMIAAOSw-v5eIc-j/s-l1600.webp,113-mali.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/113-mali.jpeg
114,Malta,Southern Europe,Europe,1860,1938,Grandmaster Adam de I'sle Entering Medina,Leaders (Royalty),https://www.stampworld.com/stamps/Malta/Postage-stamps/g0175//,196,229,https://i.ebayimg.com/images/g/1KMAAOSwuJJm3g6O/s-l1600.webp,114-malta.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/114-malta.jpeg
115,Marshall Islands,Micronesia,Oceania,1984,1984,The 5th Anniversary of Constitution,Constitutional,https://www.stampworld.com/stamps/Marshall-Islands/Postage-stamps/g0027//,59-62,33-36,https://i.ebayimg.com/images/g/pvEAAOSw0NRhP6gp/s-l1600.webp,115-marshallislands.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/115-marshallislands.jpeg
116,Mauritania ,Western Africa,Africa,1960,1962,The 2nd Anniversary of Independence from France,Independence (Economic),https://www.stampworld.com/stamps/Mauritania/Postage-stamps/g0198//,172,159,https://i.ebayimg.com/images/g/jQQAAeSwaUtpIxEm/s-l1600.webp,116-mauritania.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/116-mauritania.jpeg
117,Mauritius,Eastern Africa,Africa,1968,1971,The 25th Anniversary of Plaisance Airport,Infrastructure (Transport),https://www.stampworld.com/stamps/Mauritius/Postage-stamps/g0396//,385-388,431-434,https://i.ebayimg.com/images/g/5LYAAOSwYvpgICfm/s-l1600.webp,117-mauritius.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/117-mauritius.jpeg
118,Mexico,Central America,Americas,1856,1910,The 100th Anniversary of the Mexican War of Independence from Spain,Independence (History),https://www.stampworld.com/stamps/Mexico/Postage-stamps/g0302//,310-320,282-292,https://i.ebayimg.com/images/g/MjoAAeSwgWRpX7x5/s-l1600.webp,118-mexico.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/118-mexico.jpeg
119,Micronesia (Federated States of),Micronesia,Oceania,1984,1984,"Pedro Fernandez de Quiros (Phonpei, 1595) ",Discovery (Voyages),https://www.stampworld.com/stamps/Micronesia/Postage-stamps/g0005//,"5-8, 13-16",-8. 13-16,https://i.ebayimg.com/images/g/zisAAeSw2ttofeZq/s-l1600.webp,119-micronesiafederatedstatesof.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/119-micronesiafederatedstatesof.jpeg
120,Moldova,Eastern Europe,Europe,1991,1992,100th Anniversary of St. Panteleimon’s Church,Faith,https://www.stampworld.com/stamps/Moldova/Postage-stamps/g0020//,37,25,https://i.ebayimg.com/images/g/JvsAAOSwB-1Yzkt2/s-l1600.webp,120-moldova.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/120-moldova.jpeg
121,Monaco,Western Europe,Europe,1885,1948,Death Centenary of sculptor Francois Joseph Bosio,Creatives (Artists),https://www.stampworld.com/stamps/Monaco/Postage-stamps/g0361//,209-213,172-173,https://upload.wikimedia.org/wikipedia/commons/a/ac/Stamp_1948_Monaco_MiNr0348_mt_B002.jpg,121-monaco.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/121-monaco.jpeg
122,Mongolia,Eastern Asia,Asia,1924,1946,25th Anniversary of Independence,Independence (History),https://www.stampworld.com/stamps/Mongolia/Postage-stamps/g0073//,84-90,68-74,https://i.ebayimg.com/images/g/Fq0AAOSwAfth4Nnk/s-l500.jpg,122-mongolia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/122-mongolia.jpeg
123,Montenegro,Southern Europe,Europe,1874,1896,200th Anniversary of the Ruling dynasty,Leaders (Royalty),https://www.stampworld.com/stamps/Montenegro/Postage-stamps/g0022//,45-56,90-101,https://i.ebayimg.com/images/g/b-EAAeSwCDlpTqXN/s-l1600.webp,123-montenegro.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/123-montenegro.jpeg
124,Montenegro ,Southern Europe,Europe,2006,2006,100th Anniversary of the Perper Currency,Independence (National Symbols),https://www.stampworld.com/stamps/Montenegro/Postage-stamps/g0120//,"135, 136","M190, M191",https://i.ebayimg.com/images/g/kOsAAOSw1cJmTIE5/s-l1600.webp,124-montenegro.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/124-montenegro.jpeg
125,Morocco,Northern Africa,Africa,1956,1960,900th Anniversary of Marrakesh,Cities,https://www.stampworld.com/stamps/Morocco/Postage-stamps/g0459//,38,75,https://i.ebayimg.com/images/g/WMIAAOSwWUJf49jE/s-l1600.webp,125-morocco.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/125-morocco.jpeg
126,Mozambique,Eastern Africa,Africa,1975,1976,The 1st Anniversary of Independence,Independence (History),https://www.stampworld.com/stamps/Mozambique/Postage-stamps/g0622//,546-550,666-670,https://i.ebayimg.com/images/g/oaoAAOSwcbNnSuzc/s-l1600.webp,126-mozambique.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/126-mozambique.jpeg
127,Myanmar,Southeastern Asia,Asia,1990,1992,The 44th Anniversary of the Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Myanmar/Postage-stamps/g0008//,"307, 308","324, 325",https://i.ebayimg.com/images/g/Qc4AAOSwk8llv1gC/s-l500.jpg,127-myanmar.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/127-myanmar.jpeg
128,Namibia,Southern Africa,Africa,1990,1990,The 100th Anniversary of Windhoek,Cities,https://www.stampworld.com/stamps/Namibia/Postage-stamps/g0008//,666-669,545-548,https://i.ebayimg.com/images/g/ZEEAAOSwgXhhjNdg/s-l1600.webp,128-namibia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/128-namibia.jpeg
129,Nauru,Micronesia,Oceania,1968,1969,The 1st Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Nauru/Postage-stamps/g0102//,88,96,https://i.ebayimg.com/images/g/E5AAAOSwHqddAumT/s-l1600.webp,129-nauru.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/129-nauru.jpeg
130,Nepal ,Southern Asia,Asia,1881,1956,The 1st Anniversary of Admission to the UN,UN Admission,https://www.stampworld.com/stamps/Nepal/Postage-stamps/g0093//,89,102,https://i.ebayimg.com/images/g/FTQAAOSwwl9hpQN1/s-l1600.webp,130-nepal.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/130-nepal.jpeg
131,Netherlands,Western Europe,Europe,1852,1907,"The 300th Anniversary of the Birth of Admiral Michiel Adriaanszoon De Ruyter, 1607-1676",Leaders (Military),https://www.stampworld.com/stamps/Netherlands/Postage-stamps/g0072//,87-89,211-213,https://i.ebayimg.com/images/g/JbMAAOSw6V1fFfkX/s-l1600.webp,131-netherlands.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/131-netherlands.jpeg
132,New Zealand,Australia and New Zealand,Oceania,1855,1906,Landing of Cook and Annexation of New Zealand,Discovery (Founding),https://www.stampworld.com/stamps/New-Zealand/Postage-stamps/g0121//,"124, 125","372, 373",https://i.ebayimg.com/images/g/T7UAAOSwMPpjY-qS/s-l1600.webp,132-newzealand.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/132-newzealand.jpeg
133,Nicaragua,Central America,Americas,1862,1892,Columbus  Sighting ,Discovery (Columbus),https://www.stampworld.com/stamps/Nicaragua/Postage-stamps/g0040//,40-49,47-56,https://i.ebayimg.com/images/g/I~kAAeSwANFp87bt/s-l1600.webp,133-nicaragua.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/133-nicaragua.jpeg
134,Niger,Western Africa,Africa,1960,1961,Airmail - The 1st Anniversary of Admission into the United Nations,UN Admission,https://www.stampworld.com/stamps/Niger/Postage-stamps/g0018//,"C20, C21","119, 120",https://i.ebayimg.com/images/g/OyAAAOSwKwVks96G/s-l1600.webp,134-niger.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/134-niger.jpeg
135,Nigeria,Western Africa,Africa,1960,1961,The 1st Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Nigeria/Postage-stamps/g0119//,118-122,106-110,https://i.ebayimg.com/images/g/iLIAAOSww3Ri1acA/s-l1600.webp,135-nigeria.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/135-nigeria.jpeg
136,North Macedonia,Southern Europe,Europe,1992,1993,The 90th Anniversary of the Uprising of Ilinden,Uprising,https://www.stampworld.com/stamps/Macedonia/Postage-stamps/g0015//,15,52,https://i.ebayimg.com/images/g/KNQAAeSw5Ahp31RY/s-l1600.webp,136-northmacedonia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/136-northmacedonia.jpeg
137,Norway,Northern Europe,Europe,1855,1914,100th Anniversary of Declaration of Independence,Independence (History),https://www.stampworld.com/stamps/Norway/Postage-stamps/g0090//,96-98,159-161,https://i.ebayimg.com/images/g/ln8AAeSwRCxo30Wl/s-l1600.webp,137-norway.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/137-norway.jpeg
138,Oman ,Western Asia,Asia,1971,1980,1400th Anniversary of Hegira (Islamic Calendar),Culture,https://www.stampworld.com/stamps/Oman/Postage-stamps/g0084//,"198, 199","229, 230",https://i.ebayimg.com/images/g/6e4AAOSwAaVflraI/s-l1600.webp,138-oman.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/138-oman.jpeg
139,Pakistan ,Southern Asia,Asia,1947,1948,1st Anniversary of the Declaration of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Pakistan/Postage-stamps/g0021//,20-23,20-23,https://i.ebayimg.com/images/g/-b0AAeSwIUpoUDsY/s-l1600.webp,139-pakistan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/139-pakistan.jpeg
140,Palau,Micronesia,Oceania,1983,1983,The 200th Anniversary of Captain Henry Wilson's Voyage to Palau,Discovery (Voyages),https://www.stampworld.com/stamps/Palau/Postage-stamps/g0029//,33-40,34-41,https://i.ebayimg.com/images/g/qVoAAOSwr7Nlliqv/s-l1600.webp,140-palau.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/140-palau.jpeg
141,Palestine (State of),Western Asia,Asia,1994,1997,Historic Views of Gaza and Hebron,Cities,https://www.stampworld.com/stamps/Palestine/Postage-stamps/g0072//,66. 67,"PA96, PA97",https://i.ebayimg.com/images/g/ufAAAOSwUuFnzsfd/s-l1600.webp,141-palestinestateof.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/141-palestinestateof.jpeg
142,Panama,Central America,Americas,1878,1905,The 2nd Anniversary of Independence from Colombia ,Independence (National Symbols),https://www.stampworld.com/stamps/Panama/Postage-stamps/g0139//,"179, 180","136, 137",https://i.ebayimg.com/images/g/m1AAAOSwhB5ifRrx/s-l1600.webp,142-panama.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/142-panama.jpeg
143,Papua New Guinea,Melanesia,Oceania,1952,1973,The 75th Anniversary of Papua New Guinea Stamps,Philately,https://www.stampworld.com/stamps/Papua-New-Guinea/Postage-stamps/g0263//,389-394,260-265,https://i.ebayimg.com/images/g/24cAAOSwvHdj9Pxg/s-l1600.webp,143-papuanewguinea.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/143-papuanewguinea.jpeg
144,Paraguay,Latin  America and the Caribbean,Americas,1870,1911,Centenary of Independence ,Independence (National Symbols),https://www.stampworld.com/stamps/Paraguay/Postage-stamps/g0192//,201-207,218-224,https://i.ebayimg.com/images/g/vxcAAeSw74xpJdZG/s-l1600.webp,144-paraguay.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/144-paraguay.jpeg
145,Peru,Latin  America  and  the Caribbean,Americas,1858,1871,The 20th Anniversary of the First Railway in South America,Infastructure (Railway),https://www.stampworld.com/stamps/Peru/Postage-stamps/g0021//,19,21a,https://upload.wikimedia.org/wikipedia/commons/4/43/Stamp_of_Peru_-_1871_-_Colnect_352999_-_Locomotive_and_Arms.jpeg,145-peru.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/145-peru.jpeg
146,Philippines,Southeastern Asia,Asia,1854,1935,Magellan's Landing,Discovery,https://www.stampworld.com/stamps/Philippines/Postage-stamps/g0364//,389,465,https://i.ebayimg.com/images/g/bnAAAOSw975h6sSU/s-l1600.webp,146-philippines.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/146-philippines.jpeg
147,Poland,Eastern Europe,Europe,1860,1923,450th Anniversary of the Birth of Nikola Kopernik ,Science ,https://www.stampworld.com/stamps/Poland/Postage-stamps/g0147//,192,199,https://i.ebayimg.com/images/g/ZuUAAeSwHRxouWAX/s-l1600.webp,147-poland.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/147-poland.jpeg
148,Portugal,Southern Europe,Europe,1853,1894,"The 500th Anniversary of the Birth of Henry the Mariner, 1394-1460",Leaders (Royalty),https://www.stampworld.com/stamps/Portugal/Postage-stamps/g0097//,97-109,314-326,https://i.ebayimg.com/images/g/hQAAAOSwNklnRFE1/s-l1600.webp,148-portugal.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/148-portugal.jpeg
149,Qatar ,Western Asia,Asia,1957,1968,10th Anniversary of Postage Stamps in Qatar,Philately,https://www.stampworld.com/stamps/Qatar/Postage-stamps/g0339//,"127, 127A-127E",228-233,https://i.ebayimg.com/images/g/6n8AAOSwondn6e1n/s-l1600.webp,149-qatar.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/149-qatar.jpeg
150,Romania,Eastern Europe,Europe,1858,1906,40 Years  of the reign of King Karl I,Leaders (Royalty),https://www.stampworld.com/stamps/Romania/Postage-stamps/g0184//,176-185,503-512,https://i.ebayimg.com/images/g/oEsAAOSwbaJnJoJi/s-l1600.webp,150-romania.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/150-romania.jpeg
151,Russia,Eastern Europe,Europe,1857,1913,300th Anniversary of the Founding of the Romanov Dynasty ,Leaders (Royalty),https://www.stampworld.com/stamps/Russia/Postage-stamps/g0081//,88-104,126-142,https://i.ebayimg.com/images/g/DK0AAeSw0eVpm3n4/s-l1600.webp,151-russia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/151-russia.jpeg
152,Russian Federation ,Eastern Europe,Europe,1991,1992,750th Anniversary of the Battle of Lake Peipus,Military,https://www.stampworld.com/stamps/Russia/Postage-stamps/g0217//,6059,2545,https://i.ebayimg.com/images/g/0ugAAOSw3FRloypB/s-l1600.webp,152-russianfederation.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/152-russianfederation.jpeg
153,Rwanda,Eastern Africa,Africa,1962,1963,1963 The 1st Anniversary of Independence,Independence (Flora and Fauna),https://www.stampworld.com/stamps/Rwanda/Postage-stamps/g0027//,27-35,27-35,https://i.ebayimg.com/images/g/~IkAAOSwr7VoK4VD/s-l1600.webp,153-rwanda.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/153-rwanda.jpeg
154,Saint Kitts and Nevis,Latin  America  and  the Caribbean,Americas,1980,1981,Military Uniforms,Military,https://www.stampworld.com/stamps/St.-Kitts/Postage-stamps/g0043//,67-74,71-74,https://i.ebayimg.com/images/g/XIoAAOSwTGtj2~hl/s-l1600.webp,154-saintkittsandnevis.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/154-saintkittsandnevis.jpeg
155,Saint Lucia,Latin  America  and  the Caribbean,Americas,1860,1902,The 400th Anniversary of the Discovery of the Island,Discovery (Columbus),https://www.stampworld.com/stamps/St.-Lucia/Postage-stamps/g0034//,49,63,https://i.ebayimg.com/images/g/6aYAAOSwulBm~XOS/s-l1600.webp,155-saintlucia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/155-saintlucia.jpeg
156,Saint Vincent and The Grenadines,Latin  America  and  the Caribbean,Americas,1861,1964,The 50th Anniversary of Scouting in St. Vincent [St Vincent],Culture (Education),https://www.stampworld.com/stamps/St.-Vincent/Postage-stamps/g0206//,216-219,221-224,https://i.ebayimg.com/images/g/GQAAAeSwmqJobEEa/s-l1600.webp,156-saintvincentandthegrenadines.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/156-saintvincentandthegrenadines.jpeg
157,Samoa,Polynesia,Oceania,1877,1939,The 25th Anniversary of New Zealand Control,Constitutional,https://www.stampworld.com/stamps/Samoa/Postage-stamps/g0093//,181-184,195-198,https://i.ebayimg.com/images/g/5GUAAOSwcLloVaEj/s-l1600.webp,157-samoa.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/157-samoa.jpeg
158,San Marino,Southern Europe,Europe,1877,1923,Italian Flag Delivered to San Marino after Arbe Island's Return to Yugoslavia,Founding (History),https://www.stampworld.com/stamps/San-Marino/Postage-stamps/g0089//,82,92,https://i.ebayimg.com/images/g/0mgAAeSwN1NpSzge/s-l1600.webp,158-sanmarino.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/158-sanmarino.jpeg
159,Sao Tome And Principe,Middle Africa,Africa,1975,1976,The 1st Anniversary of Independence, Independence (History),https://www.stampworld.com/stamps/Sao-Tome-And-Principe/Postage-stamps/g0473//,437-440,497-500,https://www.stampworld.com/media/catalogue/Sao-Tome-And-Principe/Postage-stamps/DR-s.jpg,159-saotomeandprincipe.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/159-saotomeandprincipe.jpeg
160,Saudi Arabia ,Western Asia,Asia,1916,1950,50th Anniversary of Capture of Riyadh by King Abdulaziz Ibn Saud,Uprising,https://www.stampworld.com/stamps/Saudi-Arabia/Postage-stamps/g0037//,180-184,365-369,https://postalmuseum.si.edu/object/npm_2011.2005.451,160-saudiarabia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/160-saudiarabia.jpeg
161,Senegal,Western Africa,Africa,1958,1961,The 1st Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Senegal/Postage-stamps/g0250//,201,239,https://i.ebayimg.com/images/g/CqcAAOSwFKVgH6C1/s-l1600.webp,161-senegal.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/161-senegal.jpeg
162,Serbia,Southern Europe,Europe,1886,1904,Centenary of Dynasty,Leaders (Royalty),https://www.stampworld.com/stamps/Serbia/Postage-stamps/g0075//,79-86,108-155,https://i.ebayimg.com/images/g/dhoAAOSwtFRj2EnN/s-l1600.webp,162-serbia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/162-serbia.jpeg
163,Serbia,Southern Europe,Europe,2003,2006,The 200th Anniversary of Battle on Mishar,Military,https://www.stampworld.com/stamps/Serbia/Postage-stamps/g0149//,348,248,https://alchetron.com/cdn/battle-of-miar-2530650d-20d2-4425-a562-7c57e20da9e-resize-750.jpeg,163-serbia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/163-serbia.jpeg
164,Seychelles,Eastern Africa,Africa,1976,1978,The 200th Anniversary of Victoria (capital),Cities,https://www.stampworld.com/stamps/Seychelles/Postage-stamps/g0426//,421-424,437-440,https://upload.wikimedia.org/wikipedia/commons/8/82/Stamp_of_Seychelles_-_1978_-_Colnect_500791_-_%E2%80%9CStone_of_Possession%E2%80%9D.jpeg,164-seychelles.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/164-seychelles.jpeg
